# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu May 21 09:12:17 2020
#
# User preference: *
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_rade:        Planet Radius [Earth radii]
#
pl_hostname,pl_letter,pl_name,pl_discmethod,pl_eqt,pl_rade
HD 141937,b,HD 141937 b,Radial Velocity,,
HD 142,b,HD 142 b,Radial Velocity,,
HD 142,c,HD 142 c,Radial Velocity,,
HD 142022 A,b,HD 142022 A b,Radial Velocity,,
HD 142245,b,HD 142245 b,Radial Velocity,,
HD 142415,b,HD 142415 b,Radial Velocity,,
HD 143105,b,HD 143105 b,Radial Velocity,,
HD 143361,b,HD 143361 b,Radial Velocity,,
HD 145377,b,HD 145377 b,Radial Velocity,,
HD 145457,b,HD 145457 b,Radial Velocity,,
HD 145934,b,HD 145934 b,Radial Velocity,,
HD 1461,b,HD 1461 b,Radial Velocity,,
HD 1461,c,HD 1461 c,Radial Velocity,,
HD 147018,b,HD 147018 b,Radial Velocity,,
HD 147018,c,HD 147018 c,Radial Velocity,,
HD 147379,b,HD 147379 b,Radial Velocity,,
HD 147513,b,HD 147513 b,Radial Velocity,,
HD 14787,b,HD 14787 b,Radial Velocity,,
HD 147873,b,HD 147873 b,Radial Velocity,,
HD 147873,c,HD 147873 c,Radial Velocity,,
HD 148156,b,HD 148156 b,Radial Velocity,,
HD 148164,b,HD 148164 b,Radial Velocity,,
HD 148164,c,HD 148164 c,Radial Velocity,,
HD 148284,b,HD 148284 b,Radial Velocity,,
HD 148427,b,HD 148427 b,Radial Velocity,,
HD 149026,b,HD 149026 b,Radial Velocity,,8.295
HD 149143,b,HD 149143 b,Radial Velocity,,
HD 1502,b,HD 1502 b,Radial Velocity,,
HD 150706,b,HD 150706 b,Radial Velocity,,
HD 152079,b,HD 152079 b,Radial Velocity,,
HD 152581,b,HD 152581 b,Radial Velocity,,
HD 15337,b,HD 15337 b,Transit,1001,1.640
HD 15337,c,HD 15337 c,Transit,642,2.390
HD 153950,b,HD 153950 b,Radial Velocity,,
HD 154345,b,HD 154345 b,Radial Velocity,,
HD 154672,b,HD 154672 b,Radial Velocity,,
HD 154857,b,HD 154857 b,Radial Velocity,,
HD 154857,c,HD 154857 c,Radial Velocity,,
HD 155233,b,HD 155233 b,Radial Velocity,,
HD 155358,b,HD 155358 b,Radial Velocity,,
HD 155358,c,HD 155358 c,Radial Velocity,,
HD 156279,b,HD 156279 b,Radial Velocity,,
HD 156279,c,HD 156279 c,Radial Velocity,,
HD 156411,b,HD 156411 b,Radial Velocity,,
HD 156668,b,HD 156668 b,Radial Velocity,,
HD 156846,b,HD 156846 b,Radial Velocity,,
HD 158038,b,HD 158038 b,Radial Velocity,,
HD 158259,b,HD 158259 b,Radial Velocity,,
HD 158259,c,HD 158259 c,Radial Velocity,,
HD 158259,d,HD 158259 d,Radial Velocity,,
HD 158259,e,HD 158259 e,Radial Velocity,,
HD 158259,f,HD 158259 f,Radial Velocity,,
HD 158996,b,HD 158996 b,Radial Velocity,,
HD 159243,b,HD 159243 b,Radial Velocity,,
HD 159243,c,HD 159243 c,Radial Velocity,,
HD 159868,b,HD 159868 b,Radial Velocity,,
HD 159868,c,HD 159868 c,Radial Velocity,,
HD 1605,b,HD 1605 b,Radial Velocity,,
HD 1605,c,HD 1605 c,Radial Velocity,,
HD 160691,b,HD 160691 b,Radial Velocity,,
HD 160691,c,HD 160691 c,Radial Velocity,,
HD 160691,d,HD 160691 d,Radial Velocity,,
HD 160691,e,HD 160691 e,Radial Velocity,,
HD 16141,b,HD 16141 b,Radial Velocity,,
HD 16175,b,HD 16175 b,Radial Velocity,,
HD 162020,b,HD 162020 b,Radial Velocity,,
HD 163607,b,HD 163607 b,Radial Velocity,,
HD 163607,c,HD 163607 c,Radial Velocity,,
HD 16417,b,HD 16417 b,Radial Velocity,,
HD 164509,b,HD 164509 b,Radial Velocity,,
HD 164595,b,HD 164595 b,Radial Velocity,,
HD 164604,b,HD 164604 b,Radial Velocity,,
HD 164922,b,HD 164922 b,Radial Velocity,,
HD 164922,c,HD 164922 c,Radial Velocity,401,
HD 165155,b,HD 165155 b,Radial Velocity,,
HD 1666,b,HD 1666 b,Radial Velocity,,
HD 166724,b,HD 166724 b,Radial Velocity,,
HD 167042,b,HD 167042 b,Radial Velocity,,
HD 168443,b,HD 168443 b,Radial Velocity,,
HD 168443,c,HD 168443 c,Radial Velocity,,
HD 168746,b,HD 168746 b,Radial Velocity,,
HD 1690,b,HD 1690 b,Radial Velocity,,
HD 169830,b,HD 169830 b,Radial Velocity,,
HD 169830,c,HD 169830 c,Radial Velocity,,
HD 170469,b,HD 170469 b,Radial Velocity,,
HD 17092,b,HD 17092 b,Radial Velocity,,
HD 171028,b,HD 171028 b,Radial Velocity,,
HD 171238,b,HD 171238 b,Radial Velocity,,
HD 17156,b,HD 17156 b,Radial Velocity,,12.330
HD 173416,b,HD 173416 b,Radial Velocity,,
HD 175167,b,HD 175167 b,Radial Velocity,,
HD 175541,b,HD 175541 b,Radial Velocity,,
HD 175607,b,HD 175607 b,Radial Velocity,,
HD 17674,b,HD 17674 b,Radial Velocity,,
HD 176986,b,HD 176986 b,Radial Velocity,,
HD 176986,c,HD 176986 c,Radial Velocity,,
HD 177565,b,HD 177565 b,Radial Velocity,,
HD 177830,b,HD 177830 b,Radial Velocity,,
HD 177830,c,HD 177830 c,Radial Velocity,,
HD 178911 B,b,HD 178911 B b,Radial Velocity,,
HD 179079,b,HD 179079 b,Radial Velocity,,
HD 179949,b,HD 179949 b,Radial Velocity,,
HD 180053,b,HD 180053 b,Radial Velocity,,
HD 18015,b,HD 18015 b,Radial Velocity,,
HD 180314,b,HD 180314 b,Radial Velocity,,
HD 180617,b,HD 180617 b,Radial Velocity,,
HD 180902,b,HD 180902 b,Radial Velocity,,
HD 181234,b,HD 181234 b,Radial Velocity,,
HD 181342,b,HD 181342 b,Radial Velocity,,
HD 181433,b,HD 181433 b,Radial Velocity,,
HD 181433,c,HD 181433 c,Radial Velocity,,
HD 181433,d,HD 181433 d,Radial Velocity,,
HD 181720,b,HD 181720 b,Radial Velocity,,
HD 183263,b,HD 183263 b,Radial Velocity,,
HD 183263,c,HD 183263 c,Radial Velocity,,
HD 185269,b,HD 185269 b,Radial Velocity,,
HD 187085,b,HD 187085 b,Radial Velocity,,
HD 187123,b,HD 187123 b,Radial Velocity,,
HD 187123,c,HD 187123 c,Radial Velocity,,
HD 18742,b,HD 18742 b,Radial Velocity,,
HD 188015,b,HD 188015 b,Radial Velocity,,
HD 189733,b,HD 189733 b,Radial Velocity,,12.666
HD 190360,b,HD 190360 b,Radial Velocity,,
HD 190360,c,HD 190360 c,Radial Velocity,,
HD 190647,b,HD 190647 b,Radial Velocity,,
HD 190984,b,HD 190984 b,Radial Velocity,,
HD 191806,b,HD 191806 b,Radial Velocity,,
HD 192263,b,HD 192263 b,Radial Velocity,,
HD 192310,b,HD 192310 b,Radial Velocity,355,
HD 192310,c,HD 192310 c,Radial Velocity,185,
HD 192699,b,HD 192699 b,Radial Velocity,,
HD 195019,b,HD 195019 b,Radial Velocity,,
HD 196050,b,HD 196050 b,Radial Velocity,,
HD 196067,b,HD 196067 b,Radial Velocity,,
HD 196885 A,b,HD 196885 A b,Radial Velocity,,
HD 197037,b,HD 197037 b,Radial Velocity,,
HD 19994,b,HD 19994 b,Radial Velocity,,
HD 20003,b,HD 20003 b,Radial Velocity,,
HD 20003,c,HD 20003 c,Radial Velocity,,
HD 200964,b,HD 200964 b,Radial Velocity,,
HD 200964,c,HD 200964 c,Radial Velocity,,
HD 202206,c,HD 202206 c,Radial Velocity,,
HD 202696,b,HD 202696 b,Radial Velocity,,
HD 202696,c,HD 202696 c,Radial Velocity,,
HD 202772 A,b,HD 202772 A b,Transit,2132,17.318
HD 203030,b,HD 203030 b,Imaging,1206,
HD 203473,b,HD 203473 b,Radial Velocity,,
HD 2039,b,HD 2039 b,Radial Velocity,,
HD 204313,b,HD 204313 b,Radial Velocity,,
HD 204313,c,HD 204313 c,Radial Velocity,,
HD 204941,b,HD 204941 b,Radial Velocity,,
HD 205739,b,HD 205739 b,Radial Velocity,,
HD 206255,b,HD 206255 b,Radial Velocity,,
HD 206610,b,HD 206610 b,Radial Velocity,,
HD 20781,b,HD 20781 b,Radial Velocity,,
HD 20781,c,HD 20781 c,Radial Velocity,,
HD 20781,d,HD 20781 d,Radial Velocity,,
HD 20781,e,HD 20781 e,Radial Velocity,,
HD 20782,b,HD 20782 b,Radial Velocity,,
HD 207832,b,HD 207832 b,Radial Velocity,,
HD 207832,c,HD 207832 c,Radial Velocity,,
HD 20794,b,HD 20794 b,Radial Velocity,660,
HD 20794,c,HD 20794 c,Radial Velocity,508,
HD 20794,d,HD 20794 d,Radial Velocity,388,
HD 20794,e,HD 20794 e,Radial Velocity,,
HD 208487,b,HD 208487 b,Radial Velocity,,
HD 208527,b,HD 208527 b,Radial Velocity,,
HD 20868,b,HD 20868 b,Radial Velocity,,
HD 208897,b,HD 208897 b,Radial Velocity,,
HD 209458,b,HD 209458 b,Radial Velocity,,15.581
HD 210193,b,HD 210193 b,Radial Velocity,,
HD 210277,b,HD 210277 b,Radial Velocity,,
HD 210702,b,HD 210702 b,Radial Velocity,,
HD 211810,b,HD 211810 b,Radial Velocity,,
HD 211970,b,HD 211970 b,Radial Velocity,,
HD 212301,b,HD 212301 b,Radial Velocity,,
HD 212771,b,HD 212771 b,Radial Velocity,,
HD 213240,b,HD 213240 b,Radial Velocity,,
HD 213885,b,HD 213885 b,Transit,2128,1.745
HD 213885,c,HD 213885 c,Radial Velocity,1265,
HD 21411,b,HD 21411 b,Radial Velocity,,
HD 214823,b,HD 214823 b,Radial Velocity,,
HD 215152,b,HD 215152 b,Radial Velocity,,
HD 215152,c,HD 215152 c,Radial Velocity,,
HD 215152,d,HD 215152 d,Radial Velocity,,
HD 215152,e,HD 215152 e,Radial Velocity,,
HD 215497,b,HD 215497 b,Radial Velocity,,
HD 215497,c,HD 215497 c,Radial Velocity,,
HD 216435,b,HD 216435 b,Radial Velocity,,
HD 216437,b,HD 216437 b,Radial Velocity,,
HD 216536,b,HD 216536 b,Radial Velocity,,
HD 216770,b,HD 216770 b,Radial Velocity,,
HD 21693,b,HD 21693 b,Radial Velocity,,
HD 21693,c,HD 21693 c,Radial Velocity,,
HD 217107,b,HD 217107 b,Radial Velocity,,
HD 217107,c,HD 217107 c,Radial Velocity,,
GJ 143,c,HD 21749 c,Transit,701,0.892
HD 217786,b,HD 217786 b,Radial Velocity,,
HD 217850,b,HD 217850 b,Radial Velocity,,
HD 218566,b,HD 218566 b,Radial Velocity,,
HD 219077,b,HD 219077 b,Radial Velocity,,
HD 219134,b,HD 219134 b,Radial Velocity,1015,1.602
HD 219134,c,HD 219134 c,Radial Velocity,782,1.511
HD 219134,d,HD 219134 d,Radial Velocity,411,1.610
HD 219134,f,HD 219134 f,Radial Velocity,523,1.310
HD 219134,g,HD 219134 g,Radial Velocity,,
HD 219134,h,HD 219134 h,Radial Velocity,,
HD 219415,b,HD 219415 b,Radial Velocity,,
HD 219666,b,HD 219666 b,Transit,1073,4.710
HD 219828,b,HD 219828 b,Radial Velocity,,
HD 219828,c,HD 219828 c,Radial Velocity,,
HD 220074,b,HD 220074 b,Radial Velocity,,
HD 220197,b,HD 220197 b,Radial Velocity,,
HD 220689,b,HD 220689 b,Radial Velocity,,
HD 220773,b,HD 220773 b,Radial Velocity,,
HD 220842,b,HD 220842 b,Radial Velocity,,
HD 221287,b,HD 221287 b,Radial Velocity,,
HD 221416,b,HD 221416 b,Transit,,9.170
HD 221420,b,HD 221420 b,Radial Velocity,,
HD 221585,b,HD 221585 b,Radial Velocity,,
HD 222076,b,HD 222076 b,Radial Velocity,,
HD 222155,b,HD 222155 b,Radial Velocity,,
HD 222582,b,HD 222582 b,Radial Velocity,,
HD 224538,b,HD 224538 b,Radial Velocity,,
HD 224693,b,HD 224693 b,Radial Velocity,,
HD 22781,b,HD 22781 b,Radial Velocity,,
HD 23079,b,HD 23079 b,Radial Velocity,,
HD 23127,b,HD 23127 b,Radial Velocity,,
HD 231701,b,HD 231701 b,Radial Velocity,,
HD 233604,b,HD 233604 b,Radial Velocity,,
HD 233832,b,HD 233832 b,Radial Velocity,,
HD 23472,b,HD 23472 b,Transit,,
HD 23472,c,HD 23472 c,Transit,,
HD 23596,b,HD 23596 b,Radial Velocity,,
HD 238914,b,HD 238914 b,Radial Velocity,,
HD 240210,b,HD 240210 b,Radial Velocity,,
HD 240237,b,HD 240237 b,Radial Velocity,,
HD 24040,b,HD 24040 b,Radial Velocity,,
HD 24064,b,HD 24064 b,Radial Velocity,,
HD 24085,b,HD 24085 b,Radial Velocity,,
HD 25015,b,HD 25015 b,Radial Velocity,,
HD 25171,b,HD 25171 b,Radial Velocity,,
HD 2638,b,HD 2638 b,Radial Velocity,,
HD 2685,b,HD 2685 b,Transit,2061,16.141
HD 26965,b,HD 26965 b,Radial Velocity,,
HD 27442,b,HD 27442 b,Radial Velocity,,
HD 27631,b,HD 27631 b,Radial Velocity,,
HD 27894,b,HD 27894 b,Radial Velocity,,
HD 27894,c,HD 27894 c,Radial Velocity,,
HD 27894,d,HD 27894 d,Radial Velocity,,
HD 28185,b,HD 28185 b,Radial Velocity,,
HD 28254,b,HD 28254 b,Radial Velocity,,
HD 285507,b,HD 285507 b,Radial Velocity,,
HD 285968,b,HD 285968 b,Radial Velocity,450,
HD 28678,b,HD 28678 b,Radial Velocity,,
HD 29021,b,HD 29021 b,Radial Velocity,,
HD 290327,b,HD 290327 b,Radial Velocity,,
HD 2952,b,HD 2952 b,Radial Velocity,,
HD 30177,b,HD 30177 b,Radial Velocity,,
HD 30177,c,HD 30177 c,Radial Velocity,,
HD 30562,b,HD 30562 b,Radial Velocity,,
HD 30669,b,HD 30669 b,Radial Velocity,,
HD 30856,b,HD 30856 b,Radial Velocity,,
HD 31253,b,HD 31253 b,Radial Velocity,,
HD 31527,b,HD 31527 b,Radial Velocity,,
HD 31527,c,HD 31527 c,Radial Velocity,,
HD 31527,d,HD 31527 d,Radial Velocity,,
HD 3167,b,HD 3167 b,Transit,1669,1.700
HD 3167,c,HD 3167 c,Transit,531,2.860
HD 3167,d,HD 3167 d,Radial Velocity,,
HD 32518,b,HD 32518 b,Radial Velocity,,
HD 32963,b,HD 32963 b,Radial Velocity,,
HD 330075,b,HD 330075 b,Radial Velocity,,
HD 33142,b,HD 33142 b,Radial Velocity,,
HD 33142,c,HD 33142 c,Radial Velocity,,
HD 33283,b,HD 33283 b,Radial Velocity,,
HD 33564,b,HD 33564 b,Radial Velocity,,
HD 33844,b,HD 33844 b,Radial Velocity,,
HD 33844,c,HD 33844 c,Radial Velocity,,
HD 34445,b,HD 34445 b,Radial Velocity,,
HD 34445,c,HD 34445 c,Radial Velocity,,
HD 34445,d,HD 34445 d,Radial Velocity,,
HD 34445,e,HD 34445 e,Radial Velocity,,
HD 34445,f,HD 34445 f,Radial Velocity,,
HD 34445,g,HD 34445 g,Radial Velocity,,
HD 35759,b,HD 35759 b,Radial Velocity,,
HD 3651,b,HD 3651 b,Radial Velocity,,
HD 37124,b,HD 37124 b,Radial Velocity,,
HD 37124,c,HD 37124 c,Radial Velocity,,
HD 37124,d,HD 37124 d,Radial Velocity,,
HD 37605,b,HD 37605 b,Radial Velocity,,
HD 37605,c,HD 37605 c,Radial Velocity,,
HD 38283,b,HD 38283 b,Radial Velocity,,
HD 38529,b,HD 38529 b,Radial Velocity,,
HD 38529,c,HD 38529 c,Radial Velocity,,
HD 38801,b,HD 38801 b,Radial Velocity,,
HD 39091,b,HD 39091 b,Radial Velocity,,
HD 39855,b,HD 39855 b,Radial Velocity,,
HD 40307,b,HD 40307 b,Radial Velocity,,
HD 40307,c,HD 40307 c,Radial Velocity,,
HD 40307,d,HD 40307 d,Radial Velocity,,
HD 40307,f,HD 40307 f,Radial Velocity,,
HD 40307,g,HD 40307 g,Radial Velocity,,
HD 40956,b,HD 40956 b,Radial Velocity,,
HD 40979,b,HD 40979 b,Radial Velocity,,
HD 41004 A,b,HD 41004 A b,Radial Velocity,,
HD 41004 B,b,HD 41004 B b,Radial Velocity,,
HD 4113,b,HD 4113 b,Radial Velocity,,
HD 42012,b,HD 42012 b,Radial Velocity,,
HD 4203,b,HD 4203 b,Radial Velocity,,
HD 4203,c,HD 4203 c,Radial Velocity,,
HD 4208,b,HD 4208 b,Radial Velocity,,
HD 42618,b,HD 42618 b,Radial Velocity,337,
HD 4308,b,HD 4308 b,Radial Velocity,,
HD 4313,b,HD 4313 b,Radial Velocity,,
HD 43197,b,HD 43197 b,Radial Velocity,,
HD 43691,b,HD 43691 b,Radial Velocity,,
HD 44219,b,HD 44219 b,Radial Velocity,,
HD 45184,b,HD 45184 b,Radial Velocity,,
HD 45184,c,HD 45184 c,Radial Velocity,,
HD 45350,b,HD 45350 b,Radial Velocity,,
HD 45364,b,HD 45364 b,Radial Velocity,,
HD 45364,c,HD 45364 c,Radial Velocity,,
HD 45652,b,HD 45652 b,Radial Velocity,,
HD 46375,b,HD 46375 b,Radial Velocity,,
HD 47186,b,HD 47186 b,Radial Velocity,,
HD 47186,c,HD 47186 c,Radial Velocity,,
HD 4732,b,HD 4732 b,Radial Velocity,,
HD 4732,c,HD 4732 c,Radial Velocity,,
HD 47366,b,HD 47366 b,Radial Velocity,,
HD 47366,c,HD 47366 c,Radial Velocity,,
HD 47536,b,HD 47536 b,Radial Velocity,,
HD 48265,b,HD 48265 b,Radial Velocity,,
HD 4917,b,HD 4917 b,Radial Velocity,,
HD 49674,b,HD 49674 b,Radial Velocity,,
HD 50499,b,HD 50499 b,Radial Velocity,,
HD 50499,c,HD 50499 c,Radial Velocity,,
HD 50554,b,HD 50554 b,Radial Velocity,,
HD 51608,b,HD 51608 b,Radial Velocity,,
HD 51608,c,HD 51608 c,Radial Velocity,,
HD 52265,b,HD 52265 b,Radial Velocity,,
HD 5319,b,HD 5319 b,Radial Velocity,,
HD 5319,c,HD 5319 c,Radial Velocity,,
HD 55696,b,HD 55696 b,Radial Velocity,,
HD 5583,b,HD 5583 b,Radial Velocity,,
HD 5608,b,HD 5608 b,Radial Velocity,,
HD 564,b,HD 564 b,Radial Velocity,,
HD 5891,b,HD 5891 b,Radial Velocity,,
HD 59686 A,b,HD 59686 A b,Radial Velocity,,
HD 60532,b,HD 60532 b,Radial Velocity,,
HD 60532,c,HD 60532 c,Radial Velocity,,
HD 62509,b,HD 62509 b,Radial Velocity,,
HD 63454,b,HD 63454 b,Radial Velocity,,
HD 63765,b,HD 63765 b,Radial Velocity,,
HD 64114,b,HD 64114 b,Radial Velocity,,
HD 6434,b,HD 6434 b,Radial Velocity,,
HD 65216,b,HD 65216 b,Radial Velocity,,
HD 65216,c,HD 65216 c,Radial Velocity,,
HD 66141,b,HD 66141 b,Radial Velocity,,
HD 66428,b,HD 66428 b,Radial Velocity,,
HD 67087,b,HD 67087 b,Radial Velocity,,
HD 67087,c,HD 67087 c,Radial Velocity,,
HD 6718,b,HD 6718 b,Radial Velocity,,
HD 68402,b,HD 68402 b,Radial Velocity,,
HD 68988,b,HD 68988 b,Radial Velocity,,
HD 69830,b,HD 69830 b,Radial Velocity,,
HD 69830,c,HD 69830 c,Radial Velocity,,
HD 69830,d,HD 69830 d,Radial Velocity,,
HD 70573,b,HD 70573 b,Radial Velocity,,
HD 70642,b,HD 70642 b,Radial Velocity,,
HD 7199,b,HD 7199 b,Radial Velocity,,
HD 72490,b,HD 72490 b,Radial Velocity,,
HD 72659,b,HD 72659 b,Radial Velocity,,
HD 72892,b,HD 72892 b,Radial Velocity,,
HD 73267,b,HD 73267 b,Radial Velocity,,
HD 73526,b,HD 73526 b,Radial Velocity,,
HD 73526,c,HD 73526 c,Radial Velocity,,
HD 73534,b,HD 73534 b,Radial Velocity,,
HD 74156,b,HD 74156 b,Radial Velocity,,
HD 74156,c,HD 74156 c,Radial Velocity,,
HD 7449,b,HD 7449 b,Radial Velocity,,
HD 75289,b,HD 75289 b,Radial Velocity,,
HD 75784,b,HD 75784 b,Radial Velocity,,
HD 75784,c,HD 75784 c,Radial Velocity,,
HD 75898,b,HD 75898 b,Radial Velocity,,
HD 76700,b,HD 76700 b,Radial Velocity,,
HD 76920,b,HD 76920 b,Radial Velocity,,
HD 77338,b,HD 77338 b,Radial Velocity,,
HD 7924,b,HD 7924 b,Radial Velocity,,
HD 7924,c,HD 7924 c,Radial Velocity,584,
HD 7924,d,HD 7924 d,Radial Velocity,499,
HD 79498,b,HD 79498 b,Radial Velocity,,
HD 80606,b,HD 80606 b,Radial Velocity,,11.994
HD 80653,b,HD 80653 b,Transit,,1.613
HD 81040,b,HD 81040 b,Radial Velocity,,
HD 81688,b,HD 81688 b,Radial Velocity,,
HD 82886,b,HD 82886 b,Radial Velocity,,
HD 82943,b,HD 82943 b,Radial Velocity,,
HD 82943,c,HD 82943 c,Radial Velocity,,
HD 8326,b,HD 8326 b,Radial Velocity,,
HD 83443,b,HD 83443 b,Radial Velocity,,
HD 8535,b,HD 8535 b,Radial Velocity,,
HD 85390,b,HD 85390 b,Radial Velocity,,
HD 85512,b,HD 85512 b,Radial Velocity,,
HD 8574,b,HD 8574 b,Radial Velocity,,
HD 86081,b,HD 86081 b,Radial Velocity,,
HD 86226,b,HD 86226 b,Radial Velocity,,
HD 86264,b,HD 86264 b,Radial Velocity,,
HD 8673,b,HD 8673 b,Radial Velocity,,
HD 86950,b,HD 86950 b,Radial Velocity,,
HD 87646,b,HD 87646 b,Radial Velocity,,
HD 87883,b,HD 87883 b,Radial Velocity,,
HD 88133,b,HD 88133 b,Radial Velocity,,
HD 89307,b,HD 89307 b,Radial Velocity,,
HD 89345,b,HD 89345 b,Transit,1089,7.398
HD 89744,b,HD 89744 b,Radial Velocity,,
HD 90156,b,HD 90156 b,Radial Velocity,,
HD 9174,b,HD 9174 b,Radial Velocity,,
HD 92788,b,HD 92788 b,Radial Velocity,,
HD 92788,c,HD 92788 c,Radial Velocity,,
HD 92987,b,HD 92987 b,Radial Velocity,,
HD 93083,b,HD 93083 b,Radial Velocity,,
HD 9446,b,HD 9446 b,Radial Velocity,,
HD 9446,c,HD 9446 c,Radial Velocity,,
HD 94834,b,HD 94834 b,Radial Velocity,,
HD 95086,b,HD 95086 b,Imaging,1000,
HD 95089,b,HD 95089 b,Radial Velocity,,
HD 95089,c,HD 95089 c,Radial Velocity,,
HD 95127,b,HD 95127 b,Radial Velocity,,
HD 95872,b,HD 95872 b,Radial Velocity,,
HD 96063,b,HD 96063 b,Radial Velocity,,
HD 96127,b,HD 96127 b,Radial Velocity,,
HD 96167,b,HD 96167 b,Radial Velocity,,
HD 97048,b,HD 97048 b,Disk Kinematics,,
HD 97658,b,HD 97658 b,Radial Velocity,,2.354
HD 98219,b,HD 98219 b,Radial Velocity,,
HD 98649,b,HD 98649 b,Radial Velocity,,
HD 98736,b,HD 98736 b,Radial Velocity,,
HD 99109,b,HD 99109 b,Radial Velocity,,
HD 99492,b,HD 99492 b,Radial Velocity,,
HD 99706,b,HD 99706 b,Radial Velocity,,
HD 99706,c,HD 99706 c,Radial Velocity,,
HIP 105854,b,HIP 105854 b,Radial Velocity,,
HIP 107773,b,HIP 107773 b,Radial Velocity,,
HIP 109384,b,HIP 109384 b,Radial Velocity,,
HIP 109600,b,HIP 109600 b,Radial Velocity,,
HIP 116454,b,HIP 116454 b,Transit,,2.466
HIP 12961,b,HIP 12961 b,Radial Velocity,,
HIP 14810,b,HIP 14810 b,Radial Velocity,,
HIP 14810,c,HIP 14810 c,Radial Velocity,,
HIP 14810,d,HIP 14810 d,Radial Velocity,,
HIP 35173,b,HIP 35173 b,Radial Velocity,,
HIP 41378,b,HIP 41378 b,Transit,,
HIP 41378,c,HIP 41378 c,Transit,,
HIP 41378,d,HIP 41378 d,Transit,,
HIP 41378,e,HIP 41378 e,Transit,,
HIP 41378,f,HIP 41378 f,Transit,,
HIP 5158,b,HIP 5158 b,Radial Velocity,,
HIP 5158,c,HIP 5158 c,Radial Velocity,,
HIP 54373,b,HIP 54373 b,Radial Velocity,,
HIP 54373,c,HIP 54373 c,Radial Velocity,,
HIP 57274,b,HIP 57274 b,Radial Velocity,,
HIP 57274,c,HIP 57274 c,Radial Velocity,,
HIP 57274,d,HIP 57274 d,Radial Velocity,,
HIP 63242,b,HIP 63242 b,Radial Velocity,,
HIP 65407,b,HIP 65407 b,Radial Velocity,,
HIP 65407,c,HIP 65407 c,Radial Velocity,,
HIP 65426,b,HIP 65426 b,Imaging,1500,16.814
HIP 65891,b,HIP 65891 b,Radial Velocity,,
HIP 67537,b,HIP 67537 b,Radial Velocity,,
HIP 67851,b,HIP 67851 b,Radial Velocity,,
HIP 67851,c,HIP 67851 c,Radial Velocity,,
HIP 70849,b,HIP 70849 b,Radial Velocity,,
HIP 71135,b,HIP 71135 b,Radial Velocity,,
HIP 74890,b,HIP 74890 b,Radial Velocity,,
HIP 78530,b,HIP 78530 b,Imaging,2700,
HIP 79098 AB,b,HIP 79098 AB b,Imaging,2450,
HIP 79431,b,HIP 79431 b,Radial Velocity,,
HIP 8541,b,HIP 8541 b,Radial Velocity,,
HIP 91258,b,HIP 91258 b,Radial Velocity,,
HIP 97233,b,HIP 97233 b,Radial Velocity,,
HN Peg,b,HN Peg b,Imaging,,11.777
HR 2562,b,HR 2562 b,Imaging,1200,12.442
HR 5183,b,HR 5183 b,Radial Velocity,171,
HR 810,b,HR 810 b,Radial Velocity,,
HR 858,b,HR 858 b,Transit,1572,2.085
HR 858,c,HR 858 c,Transit,1326,1.939
HR 858,d,HR 858 d,Transit,1075,2.164
HR 8799,b,HR 8799 b,Imaging,,13.000
HR 8799,c,HR 8799 c,Imaging,,13.000
HR 8799,d,HR 8799 d,Imaging,,13.000
HR 8799,e,HR 8799 e,Imaging,1150,13.115
HU Aqr,b,HU Aqr AB b,Eclipse Timing Variations,,
HU Aqr,c,HU Aqr AB c,Eclipse Timing Variations,,
HW Vir,b,HW Vir b,Eclipse Timing Variations,,
IC 4651 9122,b,IC 4651 9122 b,Radial Velocity,,
K2-10,b,K2-10 b,Transit,,3.840
K2-100,b,K2-100 b,Transit,1748,3.590
K2-101,b,K2-101 b,Transit,,2.000
K2-102,b,K2-102 b,Transit,,1.300
K2-104,b,K2-104 b,Transit,,1.960
K2-105,b,K2-105 b,Transit,814,3.370
K2-107,b,K2-107 b,Transit,1649,15.980
K2-108,b,K2-108 b,Transit,1360,5.330
K2-11,b,K2-11 b,Transit,734,7.550
K2-110,b,K2-110 b,Transit,575,2.560
K2-111,b,K2-111 b,Transit,1309,1.900
K2-113,b,K2-113 b,Transit,1098,12.140
K2-114,b,K2-114 b,Transit,661,10.670
K2-115,b,K2-115 b,Transit,619,12.060
K2-116,b,K2-116 b,Transit,,0.690
K2-117,b,K2-117 b,Transit,868,2.030
K2-117,c,K2-117 c,Transit,537,2.060
K2-118,b,K2-118 b,Transit,,2.540
K2-119,b,K2-119 b,Transit,666,2.530
K2-12,b,K2-12 b,Transit,1003,2.330
K2-120,b,K2-120 b,Transit,,2.010
K2-121,b,K2-121 b,Transit,723,7.500
K2-122,b,K2-122 b,Transit,814,1.210
K2-123,b,K2-123 b,Transit,338,2.760
K2-124,b,K2-124 b,Transit,442,2.900
K2-125,b,K2-125 b,Transit,,2.180
K2-126,b,K2-126 b,Transit,601,1.970
K2-127,b,K2-127 b,Transit,809,8.370
K2-128,b,K2-128 b,Transit,,1.420
K2-129,b,K2-129 b,Transit,,1.040
